TEST LOG PRINT
SOO
Step 179, Validation Loss= 0.0059, Loss= 0.0020
Step 180, Validation Loss= 0.0055, Loss= 0.0021
Step 181, Validation Loss= 0.0051, Loss= 0.0017
Step 182, Validation Loss= 0.0048, Loss= 0.0018
Step 183, Validation Loss= 0.0045, Loss= 0.0020
Step 184, Validation Loss= 0.0042, Loss= 0.0016
Step 185, Validation Loss= 0.0040, Loss= 0.0017
Step 186, Validation Loss= 0.0038, Loss= 0.0018
Step 187, Validation Loss= 0.0037, Loss= 0.0033
Step 188, Validation Loss= 0.0038, Loss= 0.0048
Step 189, Validation Loss= 0.0040, Loss= 0.0056
Step 190, Validation Loss= 0.0043, Loss= 0.0071
Step 191, Validation Loss= 0.0045, Loss= 0.0062
Step 192, Validation Loss= 0.0046, Loss= 0.0060
Step 193, Validation Loss= 0.0049, Loss= 0.0069
Step 194, Validation Loss= 0.0050, Loss= 0.0066
Step 195, Validation Loss= 0.0051, Loss= 0.0060
Step 196, Validation Loss= 0.0053, Loss= 0.0065
Step 197, Validation Loss= 0.0054, Loss= 0.0067
Step 198, Validation Loss= 0.0055, Loss= 0.0061
Step 199, Validation Loss= 0.0056, Loss= 0.0064
Step 200, Validation Loss= 0.0068, Loss= 0.0175
Step 201, Validation Loss= 0.0076, Loss= 0.0148
Step 202, Validation Loss= 0.0090, Loss= 0.0215
Step 203, Validation Loss= 0.0097, Loss= 0.0160
Step 204, Validation Loss= 0.0099, Loss= 0.0125
Step 205, Validation Loss= 0.0111, Loss= 0.0213
Step 206, Validation Loss= 0.0114, Loss= 0.0147
Step 207, Validation Loss= 0.0115, Loss= 0.0116
Step 208, Validation Loss= 0.0121, Loss= 0.0181
Step 209, Validation Loss= 0.0122, Loss= 0.0132
Step 210, Validation Loss= 0.0121, Loss= 0.0108
Step 211, Validation Loss= 0.0123, Loss= 0.0139
Step 212, Validation Loss= 0.0123, Loss= 0.0126
Step 213, Validation Loss= 0.0121, Loss= 0.0100
Step 214, Validation Loss= 0.0118, Loss= 0.0092
Step 215, Validation Loss= 0.0117, Loss= 0.0106
Step 216, Validation Loss= 0.0114, Loss= 0.0090
Step 217, Validation Loss= 0.0109, Loss= 0.0065
Step 218, Validation Loss= 0.0107, Loss= 0.0086
Step 219, Validation Loss= 0.0104, Loss= 0.0075
Step 220, Validation Loss= 0.0098, Loss= 0.0052
Step 221, Validation Loss= 0.0095, Loss= 0.0062
Step 222, Validation Loss= 0.0090, Loss= 0.0052
Step 223, Validation Loss= 0.0085, Loss= 0.0039
Step 224, Validation Loss= 0.0080, Loss= 0.0037
Step 225, Validation Loss= 0.0076, Loss= 0.0035
Step 226, Validation Loss= 0.0071, Loss= 0.0027
Step 227, Validation Loss= 0.0066, Loss= 0.0019
Step 228, Validation Loss= 0.0061, Loss= 0.0022
Step 229, Validation Loss= 0.0057, Loss= 0.0019
Step 230, Validation Loss= 0.0053, Loss= 0.0014
Step 231, Validation Loss= 0.0049, Loss= 0.0017
Step 232, Validation Loss= 0.0046, Loss= 0.0020
Step 233, Validation Loss= 0.0043, Loss= 0.0016
Step 234, Validation Loss= 0.0041, Loss= 0.0015
Step 235, Validation Loss= 0.0038, Loss= 0.0019
Step 236, Validation Loss= 0.0036, Loss= 0.0018
Step 237, Validation Loss= 0.0036, Loss= 0.0035
Step 238, Validation Loss= 0.0038, Loss= 0.0052
Step 239, Validation Loss= 0.0040, Loss= 0.0060
Step 240, Validation Loss= 0.0044, Loss= 0.0082
Step 241, Validation Loss= 0.0046, Loss= 0.0064
Step 242, Validation Loss= 0.0048, Loss= 0.0065
Step 243, Validation Loss= 0.0051, Loss= 0.0078
Step 244, Validation Loss= 0.0052, Loss= 0.0065
Step 245, Validation Loss= 0.0054, Loss= 0.0065
Step 246, Validation Loss= 0.0055, Loss= 0.0069
Step 247, Validation Loss= 0.0056, Loss= 0.0063
Step 248, Validation Loss= 0.0057, Loss= 0.0064
Step 249, Validation Loss= 0.0057, Loss= 0.0064
Step 250, Validation Loss= 0.0068, Loss= 0.0161
Step 251, Validation Loss= 0.0076, Loss= 0.0150
Step 252, Validation Loss= 0.0087, Loss= 0.0182
Step 253, Validation Loss= 0.0092, Loss= 0.0140
Step 254, Validation Loss= 0.0097, Loss= 0.0148
Step 255, Validation Loss= 0.0107, Loss= 0.0196
Step 256, Validation Loss= 0.0109, Loss= 0.0126
Step 257, Validation Loss= 0.0112, Loss= 0.0135
Step 258, Validation Loss= 0.0118, Loss= 0.0173
Step 259, Validation Loss= 0.0118, Loss= 0.0120
Step 260, Validation Loss= 0.0118, Loss= 0.0118
Step 261, Validation Loss= 0.0120, Loss= 0.0134
Step 262, Validation Loss= 0.0120, Loss= 0.0119
Step 263, Validation Loss= 0.0117, Loss= 0.0099
Step 264, Validation Loss= 0.0115, Loss= 0.0096
Step 265, Validation Loss= 0.0114, Loss= 0.0101
Step 266, Validation Loss= 0.0111, Loss= 0.0081
Step 267, Validation Loss= 0.0107, Loss= 0.0072
Step 268, Validation Loss= 0.0104, Loss= 0.0080
Step 269, Validation Loss= 0.0100, Loss= 0.0064
Step 270, Validation Loss= 0.0096, Loss= 0.0058
Step 271, Validation Loss= 0.0092, Loss= 0.0057
Step 272, Validation Loss= 0.0087, Loss= 0.0044
Step 273, Validation Loss= 0.0083, Loss= 0.0042
Step 274, Validation Loss= 0.0078, Loss= 0.0036
Step 275, Validation Loss= 0.0074, Loss= 0.0034
Step 276, Validation Loss= 0.0069, Loss= 0.0031
Step 277, Validation Loss= 0.0064, Loss= 0.0021
Step 278, Validation Loss= 0.0060, Loss= 0.0021
Step 279, Validation Loss= 0.0056, Loss= 0.0019
Step 280, Validation Loss= 0.0052, Loss= 0.0015
Step 281, Validation Loss= 0.0048, Loss= 0.0014
Step 282, Validation Loss= 0.0045, Loss= 0.0013
Step 283, Validation Loss= 0.0041, Loss= 0.0014
Step 284, Validation Loss= 0.0038, Loss= 0.0009
Step 285, Validation Loss= 0.0035, Loss= 0.0010
Step 286, Validation Loss= 0.0033, Loss= 0.0014
Step 287, Validation Loss= 0.0033, Loss= 0.0029
Step 288, Validation Loss= 0.0034, Loss= 0.0041
Step 289, Validation Loss= 0.0036, Loss= 0.0053
Step 290, Validation Loss= 0.0039, Loss= 0.0065
Step 291, Validation Loss= 0.0040, Loss= 0.0053
Step 292, Validation Loss= 0.0042, Loss= 0.0060
Step 293, Validation Loss= 0.0045, Loss= 0.0069
Step 294, Validation Loss= 0.0046, Loss= 0.0058
Step 295, Validation Loss= 0.0048, Loss= 0.0062
Step 296, Validation Loss= 0.0050, Loss= 0.0069
Step 297, Validation Loss= 0.0051, Loss= 0.0061
Step 298, Validation Loss= 0.0052, Loss= 0.0063
Step 299, Validation Loss= 0.0054, Loss= 0.0068
Step 300, Validation Loss= 0.0065, Loss= 0.0167
Step 301, Validation Loss= 0.0070, Loss= 0.0114
Step 302, Validation Loss= 0.0075, Loss= 0.0123
Step 303, Validation Loss= 0.0081, Loss= 0.0132
Step 304, Validation Loss= 0.0085, Loss= 0.0122
Step 305, Validation Loss= 0.0090, Loss= 0.0133
Step 306, Validation Loss= 0.0091, Loss= 0.0104
Step 307, Validation Loss= 0.0095, Loss= 0.0124
Step 308, Validation Loss= 0.0098, Loss= 0.0128
Step 309, Validation Loss= 0.0097, Loss= 0.0090
Step 310, Validation Loss= 0.0099, Loss= 0.0112
Step 311, Validation Loss= 0.0099, Loss= 0.0103
Step 312, Validation Loss= 0.0097, Loss= 0.0080
